,date,totalContributions,totalValue,CLOS_OMW_Baring_UK_Growth_Price,OMW_Fidelity_European_Price,OMW_Jupiter_UK_Growth_Price,OMW_Newton_UK_Equity_Price,SK_INVESCOPerp_Eur_Grwth_Price,SUSP_OMW_Fidelity_Global_Focus_Price,OMW_Fidelity_Gbl_Special_Sits_Price,OMW_Fidelity_Special_Sits_Price,OMW_Invesco_Europn_Equity_(UK),CLOS_BlackRock_Gold_&_General_Price,CLOS_OMW_OM_Voyager_Alt_Inv_Price,CLOS_SK_Threadneedle_Am_Select_Price,Invesco_Corp_Bond_(UK)_Price,OMW_Invesco_High_Income_(UK)_Price,OMW_Invesco_Japan_(UK)_Price,OMW_M&G_Corporate_Bond_Price,OMW_Stewart_Inv_Asia_Pac_Ldrs_Price,OMW_Stewart_Inv_Gbl_Em_Mk_Ldrs_Price,OMW_QI_US_Equity_Growth_JPM_Price,OMW_QI_Prec_Met_Eq_BlackRock_Price,OMW_QI_Inv_Grd_Cp_Bd_Inv_Price,OMW_AXA_Framlington_Health_Price
12,05/07/2002,13801.71,12150.58,1779.59,1396.15,1832.8,1832.8,1171.3,2235.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,05/08/2002,14863.38,11882.96,1757.3,1341.13,1808.18,1808.18,1108.99,2162.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,05/09/2002,15925.05,12869.22,1887.89,1429.27,1993.77,1993.77,1188.93,2321.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,05/10/2002,18334.09,14496.01,2206.69,1555.9,2251.48,2251.48,1353.71,2656.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,05/11/2002,19395.76,16433.67,2490.76,1778.19,2532.24,2532.24,1563.31,3045.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,05/12/2002,20457.43,17525.03,2614.48,1927.71,2703.46,2703.46,1629.61,3266.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,05/01/2003,21519.1,18172.57,2722.6,2023.73,2796.56,2796.56,1730.93,3331.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,05/02/2003,22580.77,18166.96,2669.41,2073.07,2766.54,2766.54,1716.78,3333.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,05/03/2003,23642.44,19282.36,2843.2,2186.53,2941.18,2941.18,1825.19,3626.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,05/04/2003,24704.11,20939.97,3131.86,2364.62,3220.28,3220.28,1981.41,4007.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,05/05/2003,25765.78,22783.79,3373.1,2641.36,3481.37,3481.37,2188.4,4197.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,05/06/2003,26827.45,25499.22,3761.14,2946.48,3871.7,3871.7,2416.1,4664.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,05/07/2003,29334.8,27482.49,3974.1,3120.45,4161.27,4161.27,2595.27,5144.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,05/08/2003,29334.8,28988.42,4233.62,3275.05,4311.12,4311.12,2766.65,5273.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
